Step 100/900000, Total Loss: 8.6820, Mel Loss: 3.0639, Mel PostNet Loss: 2.7960, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.8221, Binarization Loss: 0.0000
Step 200/900000, Total Loss: 6.0481, Mel Loss: 2.1279, Mel PostNet Loss: 1.9845, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.9357, Binarization Loss: 0.0000
Step 300/900000, Total Loss: 6.0667, Mel Loss: 1.9083, Mel PostNet Loss: 1.9138, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.2445, Binarization Loss: 0.0000
Step 400/900000, Total Loss: 5.8959, Mel Loss: 1.5574, Mel PostNet Loss: 1.7137, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.6248, Binarization Loss: 0.0000
Step 500/900000, Total Loss: 5.0338, Mel Loss: 1.4449, Mel PostNet Loss: 1.4629, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.1260, Binarization Loss: 0.0000
Step 600/900000, Total Loss: 5.0988, Mel Loss: 1.5121, Mel PostNet Loss: 1.6768, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.9099, Binarization Loss: 0.0000
Step 700/900000, Total Loss: 4.7400, Mel Loss: 1.5882, Mel PostNet Loss: 1.6122, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.5397, Binarization Loss: 0.0000
Step 800/900000, Total Loss: 4.4075, Mel Loss: 1.4101, Mel PostNet Loss: 1.5711, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.4262, Binarization Loss: 0.0000
Step 900/900000, Total Loss: 4.5795, Mel Loss: 1.3663, Mel PostNet Loss: 1.4184, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7948, Binarization Loss: 0.0000
Step 1000/900000, Total Loss: 4.7487, Mel Loss: 1.3100, Mel PostNet Loss: 1.5239, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.9148, Binarization Loss: 0.0000
Step 1100/900000, Total Loss: 4.4949, Mel Loss: 1.3224, Mel PostNet Loss: 1.3972, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7753, Binarization Loss: 0.0000
Step 1200/900000, Total Loss: 5.3680, Mel Loss: 1.7499, Mel PostNet Loss: 1.8334, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7847, Binarization Loss: 0.0000
Step 1300/900000, Total Loss: 5.2439, Mel Loss: 1.5449, Mel PostNet Loss: 1.5877, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.1113, Binarization Loss: 0.0000
Step 1400/900000, Total Loss: 5.2846, Mel Loss: 1.4583, Mel PostNet Loss: 1.5829, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 2.2433, Binarization Loss: 0.0000
Step 1500/900000, Total Loss: 4.8474, Mel Loss: 1.5215, Mel PostNet Loss: 1.5978, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.7281, Binarization Loss: 0.0000
Step 1600/900000, Total Loss: 4.8619, Mel Loss: 1.5297, Mel PostNet Loss: 1.5253, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.8069, Binarization Loss: 0.0000
Step 1700/900000, Total Loss: 4.7744, Mel Loss: 1.4571, Mel PostNet Loss: 1.4812, Pitch Loss: 0.0000, Energy Loss: 0.0000, Duration Loss: 0.0000, CTC Loss: 1.8360, Binarization Loss: 0.0000
